,well_site,num_cells,num_cells_with_condensates,num_condensates,avg_condensates_per_cell,avg_condensate_area,avg_condensate_intensity
0,KRD-211028-p6_I01_s6,8,1,1,1.0,0.524,0.032
0,KRD-211028-p6_J01_s1,9,0,0,,,
0,KRD-211028-p6_J01_s2,9,0,0,,,
0,KRD-211028-p6_J01_s3,9,0,0,,,
0,KRD-211028-p6_J01_s4,10,0,0,,,
0,KRD-211028-p6_J01_s5,45,0,0,,,
0,KRD-211028-p6_J01_s6,16,0,0,,,
0,KRD-211028-p6_K01_s1,22,1,1,1.0,0.524,0.026
0,KRD-211028-p6_K01_s2,13,0,0,,,
0,KRD-211028-p6_K01_s3,7,0,0,,,
0,KRD-211028-p6_K01_s4,15,0,0,,,
0,KRD-211028-p6_K01_s5,8,0,0,,,
0,KRD-211028-p6_K01_s6,12,0,0,,,
0,KRD-211028-p6_L01_s1,12,0,0,,,
0,KRD-211028-p6_L01_s2,12,0,0,,,
0,KRD-211028-p6_L01_s3,10,0,0,,,
0,KRD-211028-p6_L01_s4,17,2,2,1.0,1.136,0.037
0,KRD-211028-p6_L01_s5,22,1,1,1.0,0.175,0.022
0,KRD-211028-p6_L01_s6,21,1,1,1.0,0.175,0.026
0,KRD-211028-p6_M01_s1,17,0,0,,,
0,KRD-211028-p6_M01_s2,20,4,4,1.0,0.568,0.024
0,KRD-211028-p6_M01_s3,13,0,0,,,
0,KRD-211028-p6_M01_s4,18,0,0,,,
0,KRD-211028-p6_M01_s5,16,0,0,,,
0,KRD-211028-p6_M01_s6,1,0,0,,,
0,KRD-211028-p6_N01_s1,17,0,0,,,
0,KRD-211028-p6_N01_s2,14,0,0,,,
0,KRD-211028-p6_N01_s3,6,0,0,,,
0,KRD-211028-p6_N01_s4,12,0,0,,,
0,KRD-211028-p6_N01_s5,9,0,0,,,
0,KRD-211028-p6_N01_s6,6,0,0,,,
0,KRD-211028-p6_O01_s1,0,0,0,,,
0,KRD-211028-p6_O01_s2,5,0,0,,,
