,well_site,num_cells,num_cells_with_condensates,num_condensates,avg_condensates_per_cell,avg_condensate_area,avg_condensate_intensity
0,KRD-MOA-OC43-220310-3720-22-1_B10_s2,28,1,1,1.0,0.349,0.02
0,KRD-MOA-OC43-220310-3720-22-1_B10_s3,44,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B10_s4,53,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B10_s5,42,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B10_s6,58,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B11_s1,41,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B11_s2,38,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B11_s3,33,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B11_s4,14,1,1,1.0,0.524,0.024
0,KRD-MOA-OC43-220310-3720-22-1_B11_s5,46,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B11_s6,26,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B12_s1,37,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B12_s2,48,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B12_s3,54,1,1,1.0,0.349,0.036
0,KRD-MOA-OC43-220310-3720-22-1_B12_s4,37,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B12_s5,44,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B12_s6,47,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B13_s1,41,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B13_s2,36,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B13_s3,30,1,1,1.0,1.398,0.063
0,KRD-MOA-OC43-220310-3720-22-1_B13_s4,26,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B13_s5,42,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B13_s6,33,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B14_s1,40,1,1,1.0,1.223,0.031
0,KRD-MOA-OC43-220310-3720-22-1_B14_s2,44,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B14_s3,48,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B14_s4,35,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B14_s5,14,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B14_s6,27,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B15_s1,43,1,1,1.0,0.175,0.039
0,KRD-MOA-OC43-220310-3720-22-1_B15_s2,45,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B15_s3,52,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B15_s4,27,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B15_s5,35,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B15_s6,22,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B16_s1,46,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B16_s2,39,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B16_s3,31,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B16_s4,43,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B16_s5,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B16_s6,36,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B17_s1,28,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B17_s2,42,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B17_s3,25,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B17_s4,47,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B17_s5,47,3,7,2.33,0.724,0.035
0,KRD-MOA-OC43-220310-3720-22-1_B17_s6,17,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B18_s1,36,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B18_s2,32,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B18_s3,52,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B18_s4,38,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B18_s5,39,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B18_s6,34,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B19_s1,42,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B19_s2,32,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B19_s3,35,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B19_s4,28,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B19_s5,29,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B19_s6,27,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B20_s1,43,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B20_s2,40,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B20_s3,34,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B20_s4,34,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B20_s5,29,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B20_s6,48,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B21_s1,50,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B21_s2,43,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B21_s3,41,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B21_s4,44,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B21_s5,47,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B21_s6,28,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B22_s1,50,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B22_s2,32,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B22_s3,38,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B22_s4,46,2,3,1.5,1.223,0.037
0,KRD-MOA-OC43-220310-3720-22-1_B22_s5,37,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B22_s6,15,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_C01_s1,18,11,41,3.73,2.94,0.059
0,KRD-MOA-OC43-220310-3720-22-1_C01_s2,4,1,2,2.0,0.961,0.034
